GCG	GCGR
PRMT1	FOXO1
LOC102724428	CRTC2
SIK1	CRTC2
AKT3	PDE3B
AKT1	PDE3B
AKT2	PDE3B
PHKA1	PYGB
PHKA1	PYGL
PHKA1	PYGM
PHKA2	PYGB
PHKA2	PYGL
PHKA2	PYGM
PHKB	PYGB
PHKB	PYGL
PHKB	PYGM
PHKG1	PYGB
PHKG1	PYGL
PHKG1	PYGM
PHKG2	PYGB
PHKG2	PYGL
PHKG2	PYGM
CALML6	PYGB
CALML6	PYGL
CALML6	PYGM
CALML5	PYGB
CALML5	PYGL
CALML5	PYGM
CALM1	PYGB
CALM1	PYGL
CALM1	PYGM
CALM2	PYGB
CALM2	PYGL
CALM2	PYGM
CALM3	PYGB
CALM3	PYGL
CALM3	PYGM
CALML3	PYGB
CALML3	PYGL
CALML3	PYGM
CALML4	PYGB
CALML4	PYGL
CALML4	PYGM
PPP3CA	CRTC2
PPP3CB	CRTC2
PPP3CC	CRTC2
PPP3R1	CRTC2
PPP3R2	CRTC2
PRKAG2	ACACA
PRKAG2	ACACB
PRKAG3	ACACA
PRKAG3	ACACB
PRKAA1	ACACA
PRKAA1	ACACB
PRKAA2	ACACA
PRKAA2	ACACB
PRKAB1	ACACA
PRKAB1	ACACB
PRKAB2	ACACA
PRKAB2	ACACB
PRKAG1	ACACA
PRKAG1	ACACB
CAMK2A	FOXO1
CAMK2B	FOXO1
CAMK2D	FOXO1
CAMK2G	FOXO1
PPARA	G6PC1
PPARA	G6PC2
PPARA	G6PC3
PPARA	PCK1
PPARA	PCK2
PPARA	CPT1C
PPARA	CPT1A
PPARA	CPT1B
