F2	F2R
NRAS	BRAF
NRAS	P3R3URF-PIK3R3
NRAS	PIK3CA
NRAS	PIK3CB
NRAS	PIK3CD
NRAS	PIK3R1
NRAS	PIK3R2
NRAS	PIK3R3
NRAS	ARHGEF6
RRAS	ARAF
RRAS	MOS
RRAS	RAF1
RRAS	BRAF
RRAS	P3R3URF-PIK3R3
RRAS	PIK3CA
RRAS	PIK3CB
RRAS	PIK3CD
RRAS	PIK3R1
RRAS	PIK3R2
RRAS	PIK3R3
RRAS	ARHGEF6
GNA13	ARHGEF12
GNA13	ARHGEF1
GNA12	ARHGEF12
GNA12	ARHGEF1
SOS1	RRAS2
SOS1	MRAS
SOS1	HRAS
SOS1	KRAS
SOS1	NRAS
SOS1	RRAS
SOS2	RRAS2
SOS2	MRAS
SOS2	HRAS
SOS2	KRAS
SOS2	NRAS
SOS2	RRAS
EGFR	SOS1
EGFR	SOS2
FGFR1	SOS1
FGFR1	SOS2
FGFR3	SOS1
FGFR3	SOS2
FGFR2	SOS1
FGFR2	SOS2
FGFR4	SOS1
FGFR4	SOS2
INSRR	SOS1
INSRR	SOS2
PDGFRA	SOS1
PDGFRA	SOS2
PDGFRB	SOS1
PDGFRB	SOS2
EGF	EGFR
EGF	FGFR1
EGF	FGFR3
EGF	FGFR2
EGF	FGFR4
EGF	INSRR
EGF	PDGFRA
EGF	PDGFRB
FGF1	EGFR
FGF1	FGFR1
FGF1	FGFR3
FGF1	FGFR2
FGF1	FGFR4
FGF1	INSRR
FGF1	PDGFRA
FGF1	PDGFRB
FGF2	EGFR
FGF2	FGFR1
FGF2	FGFR3
FGF2	FGFR2
FGF2	FGFR4
FGF2	INSRR
FGF2	PDGFRA
FGF2	PDGFRB
FGF3	EGFR
FGF3	FGFR1
FGF3	FGFR3
FGF3	FGFR2
FGF3	FGFR4
FGF3	INSRR
FGF3	PDGFRA
FGF3	PDGFRB
FGF4	EGFR
FGF4	FGFR1
FGF4	FGFR3
FGF4	FGFR2
FGF4	FGFR4
FGF4	INSRR
FGF4	PDGFRA
FGF4	PDGFRB
FGF5	EGFR
FGF5	FGFR1
FGF5	FGFR3
FGF5	FGFR2
FGF5	FGFR4
FGF5	INSRR
FGF5	PDGFRA
FGF5	PDGFRB
FGF6	EGFR
FGF6	FGFR1
FGF6	FGFR3
FGF6	FGFR2
FGF6	FGFR4
FGF6	INSRR
FGF6	PDGFRA
FGF6	PDGFRB
FGF7	EGFR
FGF7	FGFR1
FGF7	FGFR3
FGF7	FGFR2
FGF7	FGFR4
FGF7	INSRR
FGF7	PDGFRA
FGF7	PDGFRB
FGF8	EGFR
FGF8	FGFR1
FGF8	FGFR3
FGF8	FGFR2
FGF8	FGFR4
FGF8	INSRR
FGF8	PDGFRA
FGF8	PDGFRB
FGF9	EGFR
FGF9	FGFR1
FGF9	FGFR3
FGF9	FGFR2
FGF9	FGFR4
FGF9	INSRR
FGF9	PDGFRA
FGF9	PDGFRB
FGF10	EGFR
FGF10	FGFR1
FGF10	FGFR3
FGF10	FGFR2
FGF10	FGFR4
FGF10	INSRR
FGF10	PDGFRA
FGF10	PDGFRB
FGF20	EGFR
FGF20	FGFR1
FGF20	FGFR3
FGF20	FGFR2
FGF20	FGFR4
FGF20	INSRR
FGF20	PDGFRA
FGF20	PDGFRB
FGF21	EGFR
FGF21	FGFR1
FGF21	FGFR3
FGF21	FGFR2
FGF21	FGFR4
FGF21	INSRR
FGF21	PDGFRA
FGF21	PDGFRB
FGF22	EGFR
FGF22	FGFR1
FGF22	FGFR3
FGF22	FGFR2
FGF22	FGFR4
FGF22	INSRR
FGF22	PDGFRA
FGF22	PDGFRB
PDGFA	EGFR
PDGFA	FGFR1
PDGFA	FGFR3
PDGFA	FGFR2
PDGFA	FGFR4
PDGFA	INSRR
PDGFA	PDGFRA
PDGFA	PDGFRB
PDGFB	EGFR
PDGFB	FGFR1
PDGFB	FGFR3
PDGFB	FGFR2
PDGFB	FGFR4
PDGFB	INSRR
PDGFB	PDGFRA
PDGFB	PDGFRB
PDGFC	EGFR
PDGFC	FGFR1
PDGFC	FGFR3
PDGFC	FGFR2
PDGFC	FGFR4
PDGFC	INSRR
PDGFC	PDGFRA
PDGFC	PDGFRB
PDGFD	EGFR
PDGFD	FGFR1
PDGFD	FGFR3
PDGFD	FGFR2
PDGFD	FGFR4
PDGFD	INSRR
PDGFD	PDGFRA
PDGFD	PDGFRB
FGF23	EGFR
FGF23	FGFR1
FGF23	FGFR3
FGF23	FGFR2
FGF23	FGFR4
FGF23	INSRR
FGF23	PDGFRA
FGF23	PDGFRB
FGF18	EGFR
FGF18	FGFR1
FGF18	FGFR3
FGF18	FGFR2
FGF18	FGFR4
FGF18	INSRR
FGF18	PDGFRA
FGF18	PDGFRB
FGF17	EGFR
FGF17	FGFR1
FGF17	FGFR3
FGF17	FGFR2
FGF17	FGFR4
FGF17	INSRR
FGF17	PDGFRA
FGF17	PDGFRB
FGF16	EGFR
FGF16	FGFR1
FGF16	FGFR3
FGF16	FGFR2
FGF16	FGFR4
FGF16	INSRR
FGF16	PDGFRA
FGF16	PDGFRB
FGF19	EGFR
FGF19	FGFR1
FGF19	FGFR3
FGF19	FGFR2
FGF19	FGFR4
FGF19	INSRR
FGF19	PDGFRA
FGF19	PDGFRB
INS	EGFR
INS	FGFR1
INS	FGFR3
INS	FGFR2
INS	FGFR4
INS	INSRR
INS	PDGFRA
INS	PDGFRB
F2R	GNA13
F2R	GNA12
ACTB	PFN3
ACTB	PFN4
ACTB	PFN1
ACTB	PFN2
ACTB	CFL1
ACTB	CFL2
