DRD1	GNAS
HDAC1	H2AC8
HDAC1	H2AC7
HDAC1	H2AX
HDAC1	H2AZ1
HDAC1	H2AC21
HDAC1	H2AB2
HDAC1	H2AB1
HDAC1	MACROH2A2
HDAC1	H2AJ
HDAC1	H2AC19
HDAC1	H2AC13
HDAC1	H2AC15
HDAC1	H2AC14
HDAC1	H2AC16
HDAC1	H2AC6
HDAC1	H2AC4
HDAC1	H2AC17
HDAC1	H2AC18
HDAC1	H2AC20
HDAC1	H2AB3
HDAC1	H2AC12
HDAC1	H2AC11
HDAC1	H2AC25
HDAC1	H2AZ2
HDAC1	MACROH2A1
HDAC1	LOC102724334
HDAC1	H2BK1
HDAC1	H2BC26
HDAC1	H2BW1
HDAC1	H2BC1
HDAC1	H2BW2
HDAC1	H2BC5
HDAC1	H2BC3
HDAC1	H2BC18
HDAC1	H2BC12L
HDAC1	H2BC8
HDAC1	H2BC13
HDAC1	H2BC15
HDAC1	H2BC14
HDAC1	H2BC7
HDAC1	H2BC6
HDAC1	H2BC9
HDAC1	H2BC10
HDAC1	H2BC4
HDAC1	H2BC17
HDAC1	H2BC21
HDAC1	H2BC12
HDAC1	H2BC11
HDAC2	H2AL3
HDAC2	H2AC1
HDAC2	H2AC8
HDAC2	H2AC7
HDAC2	H2AX
HDAC2	H2AZ1
HDAC2	H2AC21
HDAC2	H2AB2
HDAC2	H2AB1
HDAC2	MACROH2A2
HDAC2	H2AJ
HDAC2	H2AC19
HDAC2	H2AC13
HDAC2	H2AC15
HDAC2	H2AC14
HDAC2	H2AC16
HDAC2	H2AC6
HDAC2	H2AC4
HDAC2	H2AC17
HDAC2	H2AC18
HDAC2	H2AC20
HDAC2	H2AB3
HDAC2	H2AC12
HDAC2	H2AC11
HDAC2	H2AC25
HDAC2	H2AZ2
HDAC2	MACROH2A1
HDAC2	LOC102724334
HDAC2	H2BK1
HDAC2	H2BC26
HDAC2	H2BW1
HDAC2	H2BC1
HDAC2	H2BW2
HDAC2	H2BC5
HDAC2	H2BC3
HDAC2	H2BC18
HDAC2	H2BC12L
HDAC2	H2BC8
HDAC2	H2BC13
HDAC2	H2BC15
HDAC2	H2BC14
HDAC2	H2BC7
HDAC2	H2BC6
HDAC2	H2BC9
HDAC2	H2BC10
HDAC2	H2BC4
HDAC2	H2BC17
HDAC2	H2BC21
HDAC2	H2BC12
HDAC2	H2BC11
HDAC7	H2AL3
HDAC7	H2AC1
HDAC7	H2AC8
HDAC7	H2AC7
HDAC7	H2AX
HDAC7	H2AZ1
HDAC7	H2AC21
HDAC7	H2AB2
HDAC7	H2AB1
HDAC7	MACROH2A2
HDAC7	H2AJ
HDAC7	H2AC19
HDAC7	H2AC13
HDAC7	H2AC15
HDAC7	H2AC14
HDAC7	H2AC16
HDAC7	H2AC6
HDAC7	H2AC4
HDAC7	H2AC17
HDAC7	H2AC18
HDAC7	H2AC20
HDAC7	H2AB3
HDAC7	H2AC12
HDAC7	H2AC11
HDAC7	H2AC25
HDAC7	H2AZ2
HDAC7	MACROH2A1
HDAC7	LOC102724334
HDAC7	H2BK1
HDAC7	H2BC26
HDAC7	H2BW1
HDAC7	H2BC1
HDAC7	H2BW2
HDAC7	H2BC5
HDAC7	H2BC3
HDAC7	H2BC18
HDAC7	H2BC12L
HDAC7	H2BC8
HDAC7	H2BC13
HDAC7	H2BC15
HDAC7	H2BC14
HDAC7	H2BC7
HDAC7	H2BC6
HDAC7	H2BC9
HDAC7	H2BC10
HDAC7	H2BC4
HDAC7	H2BC17
HDAC7	H2BC21
HDAC7	H2BC12
HDAC7	H2BC11
HDAC8	H2AL3
HDAC8	H2AC1
HDAC8	H2AC8
HDAC8	H2AC7
HDAC8	H2AX
HDAC8	H2AZ1
HDAC8	H2AC21
HDAC8	H2AB2
HDAC8	H2AB1
HDAC8	MACROH2A2
HDAC8	H2AJ
HDAC8	H2AC19
HDAC8	H2AC13
HDAC8	H2AC15
HDAC8	H2AC14
HDAC8	H2AC16
HDAC8	H2AC6
HDAC8	H2AC4
HDAC8	H2AC17
HDAC8	H2AC18
HDAC8	H2AC20
HDAC8	H2AB3
HDAC8	H2AC12
HDAC8	H2AC11
HDAC8	H2AC25
HDAC8	H2AZ2
HDAC8	MACROH2A1
HDAC8	LOC102724334
HDAC8	H2BK1
HDAC8	H2BC26
HDAC8	H2BW1
HDAC8	H2BC1
HDAC8	H2BW2
HDAC8	H2BC5
HDAC8	H2BC3
HDAC8	H2BC18
HDAC8	H2BC12L
HDAC8	H2BC8
HDAC8	H2BC13
HDAC8	H2BC15
HDAC8	H2BC14
HDAC8	H2BC7
HDAC8	H2BC6
HDAC8	H2BC9
HDAC8	H2BC10
HDAC8	H2BC4
HDAC8	H2BC17
HDAC8	H2BC21
HDAC8	H2BC12
HDAC8	H2BC11
HDAC11	H2AL3
HDAC11	H2AC1
HDAC11	H2AC8
HDAC11	H2AC7
HDAC11	H2AX
HDAC11	H2AZ1
HDAC11	H2AC21
HDAC11	H2AB2
HDAC11	H2AB1
HDAC11	MACROH2A2
HDAC11	H2AJ
HDAC11	H2AC19
HDAC11	H2AC13
HDAC11	H2AC15
HDAC11	H2AC14
HDAC11	H2AC16
HDAC11	H2AC6
HDAC11	H2AC4
HDAC11	H2AC17
HDAC11	H2AC18
HDAC11	H2AC20
HDAC11	H2AB3
HDAC11	H2AC12
HDAC11	H2AC11
HDAC11	H2AC25
HDAC11	H2AZ2
HDAC11	MACROH2A1
HDAC11	LOC102724334
HDAC11	H2BK1
HDAC11	H2BC26
HDAC11	H2BW1
HDAC11	H2BC1
HDAC11	H2BW2
HDAC11	H2BC5
HDAC11	H2BC3
HDAC11	H2BC18
HDAC11	H2BC12L
HDAC11	H2BC8
HDAC11	H2BC13
HDAC11	H2BC15
HDAC11	H2BC14
HDAC11	H2BC7
HDAC11	H2BC6
HDAC11	H2BC9
HDAC11	H2BC10
HDAC11	H2BC4
HDAC11	H2BC17
HDAC11	H2BC21
HDAC11	H2BC12
HDAC11	H2BC11
HDAC10	H2AL3
HDAC10	H2AC1
HDAC10	H2AC8
HDAC10	H2AC7
HDAC10	H2AX
HDAC10	H2AZ1
HDAC10	H2AC21
HDAC10	H2AB2
HDAC10	H2AB1
HDAC10	MACROH2A2
HDAC10	H2AJ
HDAC10	H2AC19
HDAC10	H2AC13
HDAC10	H2AC15
HDAC10	H2AC14
HDAC10	H2AC16
HDAC10	H2AC6
HDAC10	H2AC4
HDAC10	H2AC17
HDAC10	H2AC18
HDAC10	H2AC20
HDAC10	H2AB3
HDAC10	H2AC12
HDAC10	H2AC11
HDAC10	H2AC25
HDAC10	H2AZ2
HDAC10	MACROH2A1
HDAC10	LOC102724334
HDAC10	H2BK1
HDAC10	H2BC26
HDAC10	H2BW1
HDAC10	H2BC1
HDAC10	H2BW2
HDAC10	H2BC5
HDAC10	H2BC3
HDAC10	H2BC18
HDAC10	H2BC12L
HDAC10	H2BC8
HDAC10	H2BC13
HDAC10	H2BC15
HDAC10	H2BC14
HDAC10	H2BC7
HDAC10	H2BC6
HDAC10	H2BC9
HDAC10	H2BC10
HDAC10	H2BC4
HDAC10	H2BC17
HDAC10	H2BC21
HDAC10	H2BC12
HDAC10	H2BC11
HDAC3	H2AL3
HDAC3	H2AC1
HDAC3	H2AC8
HDAC3	H2AC7
HDAC3	H2AX
HDAC3	H2AZ1
HDAC3	H2AC21
HDAC3	H2AB2
HDAC3	H2AB1
HDAC3	MACROH2A2
HDAC3	H2AJ
HDAC3	H2AC19
HDAC3	H2AC13
HDAC3	H2AC15
HDAC3	H2AC14
HDAC3	H2AC16
HDAC3	H2AC6
HDAC3	H2AC4
HDAC3	H2AC17
HDAC3	H2AC18
HDAC3	H2AC20
HDAC3	H2AB3
HDAC3	H2AC12
HDAC3	H2AC11
HDAC3	H2AC25
HDAC3	H2AZ2
HDAC3	MACROH2A1
HDAC3	LOC102724334
HDAC3	H2BK1
HDAC3	H2BC26
HDAC3	H2BW1
HDAC3	H2BC1
HDAC3	H2BW2
HDAC3	H2BC5
HDAC3	H2BC3
HDAC3	H2BC18
HDAC3	H2BC12L
HDAC3	H2BC8
HDAC3	H2BC13
HDAC3	H2BC15
HDAC3	H2BC14
HDAC3	H2BC7
HDAC3	H2BC6
HDAC3	H2BC9
HDAC3	H2BC10
HDAC3	H2BC4
HDAC3	H2BC17
HDAC3	H2BC21
HDAC3	H2BC12
HDAC3	H2BC11
HDAC9	H2AL3
HDAC9	H2AC1
HDAC9	H2AC8
HDAC9	H2AC7
HDAC9	H2AX
HDAC9	H2AZ1
HDAC9	H2AC21
HDAC9	H2AB2
HDAC9	H2AB1
HDAC9	MACROH2A2
HDAC9	H2AJ
HDAC9	H2AC19
HDAC9	H2AC13
HDAC9	H2AC15
HDAC9	H2AC14
HDAC9	H2AC16
HDAC9	H2AC6
HDAC9	H2AC4
HDAC9	H2AC17
HDAC9	H2AC18
HDAC9	H2AC20
HDAC9	H2AB3
HDAC9	H2AC12
HDAC9	H2AC11
HDAC9	H2AC25
HDAC9	H2AZ2
HDAC9	MACROH2A1
HDAC9	LOC102724334
HDAC9	H2BK1
HDAC9	H2BC26
HDAC9	H2BW1
HDAC9	H2BC1
HDAC9	H2BW2
HDAC9	H2BC5
HDAC9	H2BC3
HDAC9	H2BC18
HDAC9	H2BC12L
HDAC9	H2BC8
HDAC9	H2BC13
HDAC9	H2BC15
HDAC9	H2BC14
HDAC9	H2BC7
HDAC9	H2BC6
HDAC9	H2BC9
HDAC9	H2BC10
HDAC9	H2BC4
HDAC9	H2BC17
HDAC9	H2BC21
HDAC9	H2BC12
HDAC9	H2BC11
HDAC4	H2AL3
HDAC4	H2AC1
HDAC4	H2AC8
HDAC4	H2AC7
HDAC4	H2AX
HDAC4	H2AZ1
HDAC4	H2AC21
HDAC4	H2AB2
HDAC4	H2AB1
HDAC4	MACROH2A2
HDAC4	H2AJ
HDAC4	H2AC19
HDAC4	H2AC13
HDAC4	H2AC15
HDAC4	H2AC14
HDAC4	H2AC16
HDAC4	H2AC6
HDAC4	H2AC4
HDAC4	H2AC17
HDAC4	H2AC18
HDAC4	H2AC20
HDAC4	H2AB3
HDAC4	H2AC12
HDAC4	H2AC11
HDAC4	H2AC25
HDAC4	H2AZ2
HDAC4	MACROH2A1
HDAC4	LOC102724334
HDAC4	H2BK1
HDAC4	H2BC26
HDAC4	H2BW1
HDAC4	H2BC1
HDAC4	H2BW2
HDAC4	H2BC5
HDAC4	H2BC3
HDAC4	H2BC18
HDAC4	H2BC12L
HDAC4	H2BC8
HDAC4	H2BC13
HDAC4	H2BC15
HDAC4	H2BC14
HDAC4	H2BC7
HDAC4	H2BC6
HDAC4	H2BC9
HDAC4	H2BC10
HDAC4	H2BC4
HDAC4	H2BC17
HDAC4	H2BC21
HDAC4	H2BC12
HDAC4	H2BC11
BDNF	NTRK2
CALML6	CAMKK2
CALML6	CAMKK1
CALML6	HRAS
CALML6	KRAS
CALML6	NRAS
CALML5	CAMKK2
CALML5	CAMKK1
CALML5	HRAS
CALML5	KRAS
CALML5	NRAS
CALM1	CAMKK2
CALM1	CAMKK1
CALM1	HRAS
CALM1	KRAS
CALM1	NRAS
CALM2	CAMKK2
CALM2	CAMKK1
CALM2	HRAS
CALM2	KRAS
CALM2	NRAS
CALM3	CAMKK2
CALM3	CAMKK1
CALM3	HRAS
CALM3	KRAS
CALM3	NRAS
CALML3	CAMKK2
CALML3	CAMKK1
CALML3	HRAS
CALML3	KRAS
CALML3	NRAS
CALML4	CAMKK2
CALML4	CAMKK1
CALML4	HRAS
CALML4	KRAS
CALML4	NRAS
CAMKK2	CAMK4
CAMKK1	CAMK4
DRD2	GNB5
DRD2	GNAI1
DRD2	GNAI2
DRD2	GNAI3
DRD2	GNAO1
DRD2	GNB1
DRD2	GNB2
DRD2	GNB3
DRD2	GNG3
DRD2	GNG4
DRD2	GNG5
DRD2	GNG7
DRD2	GNG10
DRD2	GNG11
DRD2	GNGT1
DRD2	GNGT2
DRD2	GNG13
DRD2	GNG2
DRD2	GNG12
DRD2	GNB4
DRD2	GNG8
GNB5	ADCY5
GNAI1	ADCY5
GNAI2	ADCY5
GNAI3	ADCY5
GNAO1	ADCY5
GNB1	ADCY5
GNB2	ADCY5
GNB3	ADCY5
GNG3	ADCY5
GNG4	ADCY5
GNG5	ADCY5
GNG7	ADCY5
GNG10	ADCY5
GNG11	ADCY5
GNGT1	ADCY5
GNGT2	ADCY5
GNG13	ADCY5
GNG2	ADCY5
GNG12	ADCY5
GNB4	ADCY5
GNG8	ADCY5
ADORA2A	GNAS
ADORA2B	GNAS
HRAS	ARAF
HRAS	RAF1
HRAS	BRAF
KRAS	ARAF
KRAS	RAF1
KRAS	BRAF
NRAS	ARAF
NRAS	RAF1
NRAS	BRAF
ARAF	MAP2K1
RAF1	MAP2K1
BRAF	MAP2K1
MAP2K1	MAPK1
MAP2K1	MAPK3
MAPK1	CREB3
MAPK1	CREB1
MAPK1	ATF2
MAPK1	ATF6B
MAPK1	CREB3L4
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L3
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	PDYN
MAPK3	CREB3
MAPK3	CREB1
MAPK3	ATF2
MAPK3	ATF6B
MAPK3	CREB3L4
MAPK3	ATF4
MAPK3	CREB3L2
MAPK3	CREB3L3
MAPK3	CREB3L1
MAPK3	CREB5
MAPK3	PDYN
HAT1	H4C16
HAT1	H4C15
HAT1	H4C9
HAT1	H4C1
HAT1	H4C4
HAT1	H4C6
HAT1	H4C12
HAT1	H4C11
HAT1	H4C3
HAT1	H4C8
HAT1	H4C2
HAT1	H4C5
HAT1	H4C13
HAT1	H4C7
HAT1	H4C14
HAT1	H3C14
HAT1	H3-3A
HAT1	H3-3B
HAT1	H3C15
HAT1	H3-5
HAT1	H3C13
HAT1	H3-4
HAT1	H3C1
HAT1	H3C4
HAT1	H3C3
HAT1	H3C6
HAT1	H3C11
HAT1	H3C8
HAT1	H3C12
HAT1	H3C10
HAT1	H3C2
HAT1	H3C7
SOS1	HRAS
SOS1	KRAS
SOS1	NRAS
SOS2	HRAS
SOS2	KRAS
SOS2	NRAS
PKIA	PRKACA
PKIA	PRKACB
PKIA	PRKACG
