Gene1	Gene2	Annotation	Direction	Score
GABPA	KLF12	predicted	-	0.91
GABPA	LHX3	predicted	-	0.90
GABPA	MCRS1	expression regulates	->	1.00
GABPA	MED1	predicted	-	0.91
GABPA	MED10	expression regulates	->	1.00
GABPA	MED18	expression regulates	->	1.00
GABPA	MED23	expression regulates	->	1.00
GABPA	MED8	expression regulates	->	1.00
GABPA	MTF2	expression regulates	->	1.00
GABPA	MTOR	expression regulates	->	1.00
GABPA	NCL	expression regulates	->	1.00
GABPA	NCOA7	predicted	-	0.91
GABPA	NELFE	expression regulates	->	1.00
GABPA	NFIX	predicted	-	0.91
GABPA	NIPBL	expression regulates	->	1.00
GABPA	NME1	expression regulates	->	1.00
GABPA	NOP53	expression regulates	->	1.00
GABPA	NR1H2	expression regulates	->	1.00
GABPA	NR1H3	expression regulates	->	1.00
GABPA	NRF1	complex; input	-	1.00
GABPA	OTUD7B	expression regulates	->	1.00
GABPA	PHIP	expression regulates	->	1.00
GABPA	PLCG2	expression regulates	->	1.00
GABPA	POU2F2	expression regulates	->	1.00
GABPA	POU2F3	predicted	-	0.89
GABPA	POU6F2	expression regulates	->	1.00
GABPA	PPARGC1A	complex; input; reaction	-	1.00
GABPA	PPRC1	complex; input	-	1.00
GABPA	PRKAB1	expression regulates	->	1.00
GABPA	PRPF6	expression regulates	->	1.00
GABPA	QKI	expression regulates	->	1.00
GABPA	RFXANK	expression regulates	->	1.00
GABPA	RPS7	expression regulates	->	1.00
GABPA	RUVBL1	expression regulates	->	1.00
GABPA	SENP1	expression regulates	->	1.00
GABPA	SERPINF2	expression regulates	->	1.00
GABPA	SF3B6	expression regulates	->	1.00
GABPA	SIRT6	expression regulates	->	1.00
GABPA	SKAP1	expression regulates	->	1.00
GABPA	SOX8	expression regulates	->	1.00
GABPA	SP140	expression regulates	->	1.00
GABPA	SP2	expression regulates	->	1.00
GABPA	SP3	predicted	-	0.95
GABPA	SP7	predicted	-	0.91
GABPA	SPAG8	expression regulates	->	1.00
GABPA	STAT5A	expression regulates	->	1.00
GABPA	STAT5B	expression regulates	->	1.00
GABPA	SUPT4H1	expression regulates	->	1.00
GABPA	TAF12	expression regulates	->	1.00
GABPA	TAL1	expression regulates	->	1.00
GABPA	TBX21	expression regulates	->	1.00
GABPA	THAP10	expression regulates	->	1.00
GABPA	TWIST2	expression regulates	->	1.00
GABPA	TYMP	predicted	-	0.91
GABPA	TYROBP	expression regulates	->	1.00
GABPA	WARS1	expression regulates	->	1.00
GABPA	ZBTB26	expression regulates	->	1.00
GABPA	ZBTB43	expression regulates	->	1.00
GABPA	ZBTB45	expression regulates	->	1.00
GABPA	ZBTB6	expression regulates	->	1.00
GABPA	ZKSCAN4	expression regulates	->	1.00
GABPA	ZNF165	expression regulates	->	1.00
GABPA	ZNF205	expression regulates	->	1.00
GABPA	ZNF276	expression regulates	->	1.00
GABPA	ZNF3	expression regulates	->	1.00
GABPA	ZNF384	expression regulates	->	1.00
GABPA	ZNF394	expression regulates	->	1.00
GABPA	ZNF408	expression regulates	->	1.00
GABPA	ZNF410	expression regulates	->	1.00
GABPA	ZNF485	expression regulates	->	1.00
GABPA	ZNF646	expression regulates	->	1.00
GABPA	ZNF668	expression regulates	->	1.00
GABPA	ZNF696	expression regulates	->	1.00
GABPA	ZNF740	expression regulates	->	1.00
GABPA	ZNF750	expression regulates	->	1.00
GABPA	ZNF846	expression regulates	->	1.00
GABPA	ZSCAN12	expression regulates	->	1.00
GABPA	ZSCAN22	expression regulates	->	1.00
GABPA	ZSCAN25	expression regulates	->	1.00
GABPA	ZSCAN9	expression regulates	->	1.00
GABPB1	HCFC1	complex; input	-	1.00
GABPB1	MAX	expression regulated by	<-	1.00
GABPB1	MYC	expression regulated by	<-	1.00
GABPB1	NRF1	complex; input	-	1.00
GABPB1	PPARGC1A	complex; input; reaction	-	1.00
GABPB1	PPRC1	complex; input	-	1.00
GABRA1	GABRA3	predicted	-	0.93
GABRA1	GABRA6	predicted	-	0.93
GABRA1	GABRB1	complex	-	1.00
GABRA1	GABRB2	complex	-	1.00
GABRA1	GABRB3	complex	-	1.00
GABRA1	GABRG1	predicted	-	0.93
GABRA1	GABRG2	complex	-	1.00
GABRA1	GABRG3	complex	-	1.00
GABRA1	GABRQ	complex	-	1.00
GABRA1	GPHN	PPrel: binding/association	-	1.00
GABRA1	HAP1	PPrel: binding/association	-	1.00
GABRA1	NPTN	complex; input	-	1.00
GABRA1	NRG2	complex; input	-	1.00
GABRA1	NSF	PPrel: binding/association	-	1.00
GABRA1	PLCL1	PPrel: binding/association	-	1.00
GABRA1	PPP3CA	predicted	-	0.91
GABRA1	TRAK2	PPrel: binding/association	-	1.00
GABRA2	GABRA3	complex	-	1.00
GABRA2	GABRA4	complex; predicted	-	1.00
GABRA2	GABRA5	complex	-	1.00
GABRA2	GABRA6	predicted	-	0.90
GABRA2	GABRB1	complex	-	1.00
GABRA2	GABRB2	complex	-	1.00
GABRA2	GABRB3	complex	-	1.00
GABRA2	GABRG2	complex	-	1.00
GABRA2	GABRG3	complex	-	1.00
GABRA2	GABRQ	complex	-	1.00
GABRA2	GPHN	PPrel: binding/association; complex; input	-	1.00
GABRA2	HAP1	PPrel: binding/association	-	1.00
GABRA2	NPTN	complex; input	-	1.00
GABRA2	NSF	PPrel: binding/association	-	1.00
GABRA2	PLCL1	PPrel: binding/association	-	1.00
GABRA2	TRAK2	PPrel: binding/association	-	1.00
GABRA3	GABRA4	complex	-	1.00
GABRA3	GABRA5	complex; predicted	-	1.00
GABRA3	GABRB1	complex	-	1.00
GABRA3	GABRB2	complex	-	1.00
GABRA3	GABRB3	complex	-	1.00
GABRA3	GABRG2	complex	-	1.00
GABRA3	GABRG3	complex	-	1.00
GABRA3	GABRQ	complex	-	1.00
GABRA3	GABRR2	predicted	-	0.90
GABRA3	GPHN	PPrel: binding/association; complex; input	-	1.00
GABRA3	HAP1	PPrel: binding/association	-	1.00
GABRA3	NPTN	complex; input	-	1.00
GABRA3	NSF	PPrel: binding/association	-	1.00
GABRA3	PLCL1	PPrel: binding/association	-	1.00
GABRA3	TRAK2	PPrel: binding/association	-	1.00
GABRA4	GABRA5	complex	-	1.00
GABRA4	GABRA6	predicted	-	0.90
GABRA4	GABRB1	complex	-	1.00
GABRA4	GABRB2	complex	-	1.00
GABRA4	GABRB3	complex	-	1.00
GABRA4	GABRG1	predicted	-	0.90
GABRA4	GABRG2	complex	-	1.00
GABRA4	GABRG3	complex	-	1.00
GABRA4	GABRQ	complex	-	1.00
GABRA4	GABRR1	predicted	-	0.90
GABRA4	GABRR2	predicted	-	0.90
GABRA4	GABRR3	predicted	-	0.90
GABRA4	GPHN	PPrel: binding/association; complex; reaction	-	1.00
GABRA4	HAP1	PPrel: binding/association	-	1.00
GABRA4	NPTN	complex; input	-	1.00
GABRA4	NSF	PPrel: binding/association	-	1.00
GABRA4	PLCL1	PPrel: binding/association	-	1.00
GABRA4	TRAK2	PPrel: binding/association	-	1.00
GABRA5	GABRB1	complex	-	1.00
GABRA5	GABRB2	complex	-	1.00
GABRA5	GABRB3	complex	-	1.00
GABRA5	GABRG2	complex	-	1.00
GABRA5	GABRG3	complex	-	1.00
GABRA5	GABRQ	complex	-	1.00
GABRA5	GPHN	PPrel: binding/association; complex; input	-	1.00
GABRA5	HAP1	PPrel: binding/association	-	1.00
GABRA5	NPTN	complex; input	-	1.00
GABRA5	NSF	PPrel: binding/association	-	1.00
GABRA5	PLCL1	PPrel: binding/association	-	1.00
GABRA5	TRAK2	PPrel: binding/association	-	1.00
GABRA6	GABRB1	complex	-	1.00
GABRA6	GABRB2	complex	-	1.00
GABRA6	GABRB3	complex	-	1.00
GABRA6	GABRG2	complex	-	1.00
GABRA6	GABRG3	complex	-	1.00
GABRA6	GABRQ	complex	-	1.00
GABRA6	GPHN	PPrel: binding/association	-	1.00
GABRA6	HAP1	PPrel: binding/association	-	1.00
GABRA6	NPTN	complex; input	-	1.00
GABRA6	NSF	PPrel: binding/association	-	1.00
GABRA6	PLCL1	PPrel: binding/association	-	1.00
GABRA6	TRAK2	PPrel: binding/association	-	1.00
GABRB1	GABRG2	complex	-	1.00
GABRB1	GABRG3	complex	-	1.00
GABRB1	GABRQ	complex	-	1.00
GABRB1	GABRR1	predicted	-	0.90
GABRB1	GPHN	PPrel: binding/association	-	1.00
GABRB1	HAP1	PPrel: binding/association	-	1.00
GABRB1	NPTN	complex; input	-	1.00
GABRB1	NRG2	complex; input	-	1.00
GABRB1	NSF	PPrel: binding/association	-	1.00
GABRB1	PLCL1	PPrel: binding/association	-	1.00
GABRB1	TRAK2	PPrel: binding/association	-	1.00
GABRB2	GABRB3	predicted	-	0.96
GABRB2	GABRG2	complex	-	1.00
GABRB2	GABRG3	complex	-	1.00
GABRB2	GABRQ	complex	-	1.00
GABRB2	GPHN	PPrel: binding/association	-	1.00
GABRB2	HAP1	PPrel: binding/association	-	1.00
GABRB2	NPTN	complex; input	-	1.00
GABRB2	NRG2	complex; input	-	1.00
GABRB2	NSF	PPrel: binding/association	-	1.00
GABRB2	PLCL1	PPrel: binding/association	-	1.00
GABRB2	PPP3CA	predicted	-	0.91
GABRB2	TRAK2	PPrel: binding/association	-	1.00
GABRB3	GABRG2	complex	-	1.00
GABRB3	GABRG3	complex	-	1.00
GABRB3	GABRQ	complex	-	1.00
GABRB3	GPHN	PPrel: binding/association	-	1.00
GABRB3	HAP1	PPrel: binding/association	-	1.00
GABRB3	NPTN	complex; input	-	1.00
GABRB3	NRG2	complex; input	-	1.00
GABRB3	NSF	PPrel: binding/association	-	1.00
GABRB3	PLCL1	PPrel: binding/association	-	1.00
GABRB3	TRAK2	PPrel: binding/association	-	1.00
GABRD	GPHN	PPrel: binding/association	-	1.00
GABRD	HAP1	PPrel: binding/association	-	1.00
GABRD	NSF	PPrel: binding/association	-	1.00
GABRD	PLCL1	PPrel: binding/association	-	1.00
GABRD	TRAK2	PPrel: binding/association	-	1.00
GABRE	GABRQ	predicted	-	0.91
GABRE	GPHN	PPrel: binding/association	-	1.00
GABRE	HAP1	PPrel: binding/association	-	1.00
GABRE	NSF	PPrel: binding/association	-	1.00
GABRE	PLCL1	PPrel: binding/association	-	1.00
GABRE	TRAK2	PPrel: binding/association	-	1.00
GABRG1	GABRG2	predicted	-	0.96
GABRG1	GABRG3	predicted	-	0.91
GABRG1	GABRQ	predicted	-	0.90
GABRG1	GABRR2	predicted	-	0.90
GABRG1	GPHN	PPrel: binding/association	-	1.00
GABRG1	HAP1	PPrel: binding/association	-	1.00
GABRG1	NSF	PPrel: binding/association	-	1.00
GABRG1	PLCL1	PPrel: binding/association	-	1.00
GABRG1	TRAK2	PPrel: binding/association	-	1.00
GABRG2	GABRG3	predicted	-	0.90
GABRG2	GABRQ	complex	-	1.00
GABRG2	GABRR1	predicted	-	0.93
GABRG2	GPHN	PPrel: binding/association	-	1.00
GABRG2	HAP1	PPrel: binding/association	-	1.00
GABRG2	NPTN	complex; input	-	1.00
GABRG2	NRG2	complex; input	-	1.00
GABRG2	NSF	PPrel: binding/association	-	1.00
GABRG2	PLCL1	PPrel: binding/association	-	1.00
GABRG2	PPP3CA	predicted	-	0.91
GABRG2	TRAK2	PPrel: binding/association	-	1.00
GABRG3	GABRQ	complex	-	1.00
GABRG3	GABRR2	predicted	-	0.90
GABRG3	GPHN	PPrel: binding/association	-	1.00
GABRG3	HAP1	PPrel: binding/association	-	1.00
GABRG3	NPTN	complex; input	-	1.00
GABRG3	NRG2	complex; input	-	1.00
GABRG3	NSF	PPrel: binding/association	-	1.00
GABRG3	PLCL1	PPrel: binding/association	-	1.00
GABRG3	TRAK2	PPrel: binding/association	-	1.00
GABRP	GABRR1	predicted	-	0.89
GABRP	GPHN	PPrel: binding/association	-	1.00
GABRP	HAP1	PPrel: binding/association	-	1.00
GABRP	NSF	PPrel: binding/association	-	1.00
GABRP	PLCL1	PPrel: binding/association	-	1.00
GABRP	TRAK2	PPrel: binding/association	-	1.00
GABRQ	GABRR1	predicted	-	0.90
GABRQ	GABRR2	predicted	-	0.90
GABRQ	GABRR3	predicted	-	0.90
GABRQ	GLRA2	predicted	-	0.91
GABRQ	GPHN	PPrel: binding/association	-	1.00
GABRQ	HAP1	PPrel: binding/association	-	1.00
GABRQ	NPTN	complex; input	-	1.00
GABRQ	NRG2	complex; input	-	1.00
GABRQ	NSF	PPrel: binding/association	-	1.00
GABRQ	PLCL1	PPrel: binding/association	-	1.00
GABRQ	TRAK2	PPrel: binding/association	-	1.00
GABRR1	GABRR2	predicted	-	0.99
GABRR1	GABRR3	predicted	-	0.90
GABRR2	GABRR3	predicted	-	0.90
GAD1	GAD2	complex	-	1.00
GAD1	HSPA8	complex	-	1.00
GAD1	PRKCE	predicted	-	0.91
GAD1	RAB3A	complex	-	1.00
GAD1	RIMS1	catalyze; complex; input	->	1.00
GAD1	SLC32A1	complex	-	1.00
GAD1	SNAP25	catalyze; complex; input	->	1.00
GAD1	STX1A	catalyze; complex; input	->	1.00
GAD1	STXBP1	catalyze; complex; input	->	1.00
GAD1	SYT1	complex	-	1.00
GAD1	VAMP2	complex	-	1.00
GAD2	HSPA8	complex	-	1.00
GAD2	RAB3A	complex	-	1.00
GAD2	RIMS1	catalyze; complex; input	->	1.00
GAD2	SLC32A1	complex	-	1.00
GAD2	SNAP25	catalyze; complex; input	->	1.00
GAD2	STX1A	catalyze; complex; input	->	1.00
GAD2	STXBP1	catalyze; complex; input	->	1.00
GAD2	SYT1	complex	-	1.00
GAD2	VAMP2	complex	-	1.00
GADD45A	GADD45B	predicted	-	0.97
GADD45A	GADD45G	predicted	-	0.95
GADD45A	GATA2	expression regulated by	<-	1.00
GADD45A	GTSE1	complex; input	-	1.00
GADD45A	MAP2K6	activate	->	1.00
GADD45A	MAP3K4	PPrel: activation; complex; input	->	1.00
GADD45A	NFKB1	GErel: expression by; expression regulated by	<-	1.00
GADD45A	PCNA	PPrel: activation; activate; complex; input	->	1.00
GADD45A	POU2F1	expression regulated by	<-	1.00
GADD45A	POU5F1	expression regulated by	<-	1.00
GADD45A	PPARA	expression regulated by	<-	1.00
GADD45A	PPARD	expression regulated by	<-	1.00
GADD45A	PPARG	expression regulated by	<-	1.00
GADD45A	RARA	expression regulated by	<-	1.00
GADD45A	RELA	GErel: expression by	<-	1.00
GADD45A	TAF1	expression regulated by	<-	1.00
GADD45A	TDG	predicted	-	0.91
GADD45A	TP53	GErel: expression by; PPrel: activated by; catalyzed by; expression regulated by	<-	1.00
GADD45A	TP63	catalyzed by	<-	1.00
GADD45A	TP73	catalyzed by	<-	1.00
GADD45B	GADD45G	predicted	-	0.97
GADD45B	GTSE1	complex; input	-	1.00
GADD45B	MAP2K3	activate	->	1.00
GADD45B	MAP2K6	activate	->	1.00
GADD45B	MAP3K4	PPrel: activation; complex; input	->	1.00
GADD45B	NFKB1	GErel: expression by; expression regulated by	<-	1.00
GADD45B	PCNA	PPrel: activation	->	1.00
GADD45B	PPARA	expression regulated by	<-	1.00
GADD45B	PPARD	expression regulated by	<-	1.00
GADD45B	PPARG	expression regulated by	<-	1.00
GADD45B	RARA	expression regulated by	<-	1.00
GADD45B	RELA	GErel: expression by	<-	1.00
GADD45B	SMAD3	expression regulated by	<-	1.00
GADD45B	SMAD4	expression regulated by	<-	1.00
GADD45B	TP53	GErel: expression by; PPrel: activated by; catalyzed by	<-	1.00
GADD45B	TP63	catalyzed by	<-	1.00
GADD45B	TP73	catalyzed by	<-	1.00
GADD45G	GTSE1	complex; input	-	1.00
GADD45G	MAP2K3	activate	->	1.00
GADD45G	MAP2K6	activate	->	1.00
GADD45G	MAP3K4	PPrel: activation; complex; input	->	1.00
GADD45G	NFKB1	GErel: expression by	<-	1.00
GADD45G	PCNA	PPrel: activation	->	1.00
GADD45G	RAD21	expression regulated by	<-	1.00
GADD45G	RELA	GErel: expression by	<-	1.00
GADD45G	TP53	GErel: expression by; PPrel: activated by; catalyzed by	<-	1.00
GADD45G	TP63	catalyzed by	<-	1.00
GADD45G	TP73	catalyzed by	<-	1.00
GADD45GIP1	GFM1	complex; input	-	1.00
GADD45GIP1	GFM2	complex; input	-	1.00
GADD45GIP1	MRPL1	complex	-	1.00
GADD45GIP1	MRPL10	complex	-	1.00
GADD45GIP1	MRPL11	complex	-	1.00
GADD45GIP1	MRPL12	complex	-	1.00
GADD45GIP1	MRPL13	complex	-	1.00
GADD45GIP1	MRPL14	complex	-	1.00
GADD45GIP1	MRPL15	complex	-	1.00
GADD45GIP1	MRPL16	complex	-	1.00
GADD45GIP1	MRPL17	complex	-	1.00
GADD45GIP1	MRPL18	complex	-	1.00
GADD45GIP1	MRPL19	complex	-	1.00
GADD45GIP1	MRPL2	complex	-	1.00
GADD45GIP1	MRPL20	complex	-	1.00
GADD45GIP1	MRPL21	complex	-	1.00
GADD45GIP1	MRPL22	complex	-	1.00
GADD45GIP1	MRPL23	complex	-	1.00
GADD45GIP1	MRPL24	complex	-	1.00
GADD45GIP1	MRPL27	complex	-	1.00
GADD45GIP1	MRPL28	complex	-	1.00
GADD45GIP1	MRPL3	complex	-	1.00
GADD45GIP1	MRPL30	complex	-	1.00
GADD45GIP1	MRPL32	complex	-	1.00
GADD45GIP1	MRPL33	complex	-	1.00
GADD45GIP1	MRPL34	complex	-	1.00
GADD45GIP1	MRPL35	complex	-	1.00
GADD45GIP1	MRPL36	complex	-	1.00
GADD45GIP1	MRPL37	complex	-	1.00
GADD45GIP1	MRPL38	complex	-	1.00
GADD45GIP1	MRPL39	complex	-	1.00
GADD45GIP1	MRPL4	complex	-	1.00
GADD45GIP1	MRPL40	complex	-	1.00
GADD45GIP1	MRPL41	complex	-	1.00
GADD45GIP1	MRPL42	complex	-	1.00
GADD45GIP1	MRPL43	complex	-	1.00
GADD45GIP1	MRPL44	complex	-	1.00
GADD45GIP1	MRPL45	complex	-	1.00
GADD45GIP1	MRPL46	complex	-	1.00
GADD45GIP1	MRPL47	complex	-	1.00
GADD45GIP1	MRPL48	complex	-	1.00
GADD45GIP1	MRPL49	complex	-	1.00
GADD45GIP1	MRPL50	complex	-	1.00
GADD45GIP1	MRPL51	complex	-	1.00
GADD45GIP1	MRPL52	complex	-	1.00
GADD45GIP1	MRPL53	complex	-	1.00
GADD45GIP1	MRPL54	complex	-	1.00
GADD45GIP1	MRPL55	complex	-	1.00
GADD45GIP1	MRPL57	complex	-	1.00
GADD45GIP1	MRPL58	complex; input	-	1.00
GADD45GIP1	MRPL9	complex	-	1.00
GADD45GIP1	MRPS10	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS11	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS12	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS14	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS15	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS16	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS17	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS18A	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS18B	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS18C	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS2	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS21	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS22	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS23	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS24	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS25	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS26	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS27	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS28	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS30	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS31	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS33	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS34	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS35	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS36	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS5	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS6	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS7	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRPS9	catalyzed by; complex; input	<-	1.00
GADD45GIP1	MRRF	complex; input	-	1.00
GADD45GIP1	MTG1	predicted	-	0.91
GADD45GIP1	MTIF2	catalyzed by; input	<-	1.00
GADD45GIP1	MTIF3	catalyzed by; input	<-	1.00
GADD45GIP1	MTRF1L	complex; input	-	1.00
GADD45GIP1	OXA1L	complex	-	1.00
GADD45GIP1	PTCD3	catalyzed by; complex; input	<-	1.00
GADD45GIP1	TUFM	complex; input	-	1.00
GAK	GAPVD1	complex; input	-	1.00
GAK	GRB2	complex; input	-	1.00
GAK	HBEGF	complex; input	-	1.00
GAK	HGS	complex; input	-	1.00
GAK	HIP1	complex; input	-	1.00
GAK	HIP1R	complex; input	-	1.00
GAK	HSPA8	complex; input	-	1.00
GAK	IGF2R	complex; input	-	1.00
GAK	IL7R	complex; input	-	1.00
GAK	ITSN1	complex; input	-	1.00
GAK	KIAA0319	complex; input	-	1.00
GAK	LDLR	complex; input	-	1.00
GAK	LDLRAP1	complex; input	-	1.00
GAK	LRP2	complex; input	-	1.00
GAK	M6PR	complex; input	-	1.00
GAK	NECAP1	complex; input	-	1.00
GAK	OCRL	complex; input	-	1.00
GAK	PACSIN2	complex; input	-	1.00
GAK	PHKG2	predicted	-	0.96
GAK	PICALM	complex; input	-	1.00
GAK	RAB5A	complex; input	-	1.00
GAK	RABGEF1	predicted	-	0.91
GAK	REPS1	complex; input	-	1.00
GAK	REPS2	complex; input	-	1.00
GAK	RPS27A	complex; input	-	1.00
GAK	SCARB2	complex; input	-	1.00
GAK	SEC16A	predicted	-	0.91
GAK	SGIP1	complex; input	-	1.00
GAK	SH3GL2	complex; input	-	1.00
GAK	SH3KBP1	complex; input	-	1.00
GAK	SLC18A3	complex; input	-	1.00
GAK	SLC2A8	complex; input	-	1.00
GAK	SNX9	complex; input	-	1.00
GAK	STAM	complex; input	-	1.00
GAK	STAM2	complex; input	-	1.00
GAK	STON2	complex; input	-	1.00
GAK	SYNJ1	complex; input	-	1.00
GAK	SYNJ2	complex; input	-	1.00
GAK	SYT1	complex; input	-	1.00
GAK	SYT2	complex; input	-	1.00
GAK	SYT9	complex; input	-	1.00
GAK	TF	complex; input	-	1.00
GAK	TFRC	complex; input	-	1.00
GAK	TGFA	complex; input	-	1.00
GAK	TGOLN2	complex; input	-	1.00
GAK	TRIP10	complex; input	-	1.00
GAK	TSSK3	predicted	-	0.89
GAK	UBA52	complex; input	-	1.00
GAK	UBB	complex; input	-	1.00
GAK	UBC	complex; input	-	1.00
GAK	VAMP2	complex; input	-	1.00
GAK	VAMP3	complex; input	-	1.00
GAK	VAMP4	complex; input	-	1.00
GAK	VAMP7	complex; input	-	1.00
GAK	VAMP8	complex; input	-	1.00
GAK	WASL	complex; input	-	1.00
GAK	WNK3	predicted	-	0.90
GAK	WNT5A	complex; input	-	1.00
GAL	GALR1	PPrel: activation; complex; input	->	1.00
GAL	GALR2	PPrel: activation; complex; input	->	1.00
GAL	GALR3	PPrel: activation; complex; input	->	1.00
GAL	GNAI1	complex; input	-	1.00
GAL	GNAI2	complex; input	-	1.00
GAL	GNAI3	complex; input	-	1.00
GAL	GNAT3	complex; input	-	1.00
GAL	GNB1	complex; input	-	1.00
GAL	GNG2	complex; input	-	1.00
GAL	GPSM1	inhibited by	|-	1.00
GAL	GPSM3	inhibited by	|-	1.00
GAL3ST3	GAL3ST4	predicted	-	0.92
GALK2	GALM	predicted	-	0.91
GALK2	PGM1	predicted	-	0.91
GALNS	IDS	predicted	-	0.93
GALNS	SP1	expression regulated by	<-	1.00
GALNT1	GALNT13	predicted	-	0.96
GALNT1	GALNT14	predicted	-	0.94
GALNT1	GALNT3	predicted	-	0.94
GALNT1	MUC1	catalyze	->	1.00
GALNT1	MUC12	catalyze	->	1.00
GALNT1	MUC13	catalyze	->	1.00
GALNT1	MUC15	catalyze	->	1.00
GALNT1	MUC16	catalyze	->	1.00
GALNT1	MUC17	catalyze	->	1.00
GALNT1	MUC19	catalyze	->	1.00
GALNT1	MUC2	catalyze	->	1.00
GALNT1	MUC20	catalyze	->	1.00
GALNT1	MUC21	catalyze	->	1.00
GALNT1	MUC3A	catalyze	->	1.00
GALNT1	MUC3B	catalyze	->	1.00
GALNT1	MUC4	catalyze	->	1.00
GALNT1	MUC5AC	catalyze	->	1.00
GALNT1	MUC5B	catalyze	->	1.00
GALNT1	MUC6	catalyze	->	1.00
GALNT1	MUC7	catalyze	->	1.00
GALNT1	MUCL1	catalyze	->	1.00
GALNT1	PAFAH1B1	input	-	1.00
GALNT1	RAB18	activated by	<-	1.00
GALNT1	RAB3GAP1	activated by	<-	1.00
GALNT1	RAB3GAP2	activated by	<-	1.00
GALNT1	RAB6A	complex; input	-	1.00
GALNT10	GALNT3	predicted	-	0.93
GALNT10	GALNT6	predicted	-	0.93
GALNT10	GALNT7	predicted	-	0.93
GALNT10	MUC1	catalyze	->	1.00
GALNT10	MUC12	catalyze	->	1.00
GALNT10	MUC13	catalyze	->	1.00
GALNT10	MUC15	catalyze	->	1.00
GALNT10	MUC16	catalyze	->	1.00
GALNT10	MUC17	catalyze	->	1.00
GALNT10	MUC19	catalyze	->	1.00
GALNT10	MUC2	catalyze	->	1.00
GALNT10	MUC20	catalyze	->	1.00
GALNT10	MUC21	catalyze	->	1.00
GALNT10	MUC3A	catalyze	->	1.00
GALNT10	MUC3B	catalyze	->	1.00
GALNT10	MUC4	catalyze	->	1.00
GALNT10	MUC5AC	catalyze	->	1.00
GALNT10	MUC5B	catalyze	->	1.00
GALNT10	MUC6	catalyze	->	1.00
GALNT10	MUC7	catalyze	->	1.00
GALNT10	MUCL1	catalyze	->	1.00
GALNT11	GALNT16	predicted	-	0.91
GALNT11	MUC1	catalyze	->	1.00
GALNT11	MUC12	catalyze	->	1.00
GALNT11	MUC13	catalyze	->	1.00
GALNT11	MUC15	catalyze	->	1.00
GALNT11	MUC16	catalyze	->	1.00
GALNT11	MUC17	catalyze	->	1.00
GALNT11	MUC19	catalyze	->	1.00
GALNT11	MUC2	catalyze	->	1.00
GALNT11	MUC20	catalyze	->	1.00
GALNT11	MUC21	catalyze	->	1.00
GALNT11	MUC3A	catalyze	->	1.00
GALNT11	MUC3B	catalyze	->	1.00
GALNT11	MUC4	catalyze	->	1.00
GALNT11	MUC5AC	catalyze	->	1.00
GALNT11	MUC5B	catalyze	->	1.00
GALNT11	MUC6	catalyze	->	1.00
GALNT11	MUC7	catalyze	->	1.00
GALNT11	MUCL1	catalyze	->	1.00
GALNT12	GALNT13	predicted	-	0.90
GALNT12	GALNT15	predicted	-	0.90
GALNT12	GALNT3	predicted	-	0.90
GALNT12	GALNT5	predicted	-	0.90
GALNT12	GALNT7	predicted	-	0.96
GALNT12	GALNT8	predicted	-	0.90
GALNT12	GALNT9	predicted	-	0.89
GALNT12	MUC1	catalyze	->	1.00
GALNT12	MUC12	catalyze	->	1.00
GALNT12	MUC13	catalyze	->	1.00
GALNT12	MUC15	catalyze	->	1.00
GALNT12	MUC16	catalyze	->	1.00
GALNT12	MUC17	catalyze	->	1.00
GALNT12	MUC19	catalyze	->	1.00
GALNT12	MUC2	catalyze	->	1.00
GALNT12	MUC20	catalyze	->	1.00
GALNT12	MUC21	catalyze	->	1.00
GALNT12	MUC3A	catalyze	->	1.00
GALNT12	MUC3B	catalyze	->	1.00
